full_name,forks
"""p4lang/tutorials""",429.0
"""jafingerhut/p4-guide""",139.0
"""Princeton-Cabernet/p4-projects""",49.0
"""p4lang/p4-applications""",36.0
"""kevinbird61/p4-researching""",20.0
"""Ox-EngSci/CWM-ProgNets""",13.0
"""SketchLib/P4_SketchLib""",13.0
"""muhe1991/p4-programs-survey""",13.0
"""ebiken/p4srv6""",12.0
"""AmedeoSapio/DAIET""",11.0
"""CMCCyanyu/open-G-SRv6-P4""",11.0
"""MehmedGIT/INT-InBand-Network-Telemetry-""",11.0
"""aclapolli/ddosd-p4""",11.0
"""ovant/CWM-ProgNets""",11.0
"""netx-ulx/NDN.p4-16""",9.0
"""HyperVDP/HyperV""",8.0
"""fcm-project/fcm_p4""",8.0
"""opencord/p4se""",8.0
"""signorello/NDN.p4""",8.0
"""801room/upf_p4_poc""",7.0
"""chenxiang2019/The-Road-to-P4""",7.0
"""praveingk/DPTP""",7.0
"""Brown-NSG/P4Visor""",6.0
"""IITH-Compilers/P4LLVM""",6.0
"""ccascone/onos-p4-dev""",6.0
"""ralfkundel/p4-codel""",6.0
"""verified-network-toolchain/petr4""",6.0
"""FZU-SDN/block.p4""",5.0
"""P4-Research/p4-demos""",5.0
"""ProbabilisticINT/Tofino-PINT""",5.0
"""jafingerhut/p4lang-tests""",5.0
"""rare-freertr/RARE-bmv2""",5.0
"""Yi-Tseng/p4-dpdk-target-notes""",4.0
"""chinatelecom-sdn-group/PPPoE_using_P4""",4.0
"""cslev/p4extern""",4.0
"""intrig-unicamp/macsad-usecases""",4.0
"""jafingerhut/tutorials""",4.0
"""open-nfpsw/p4_basic_lb_metering_nic""",4.0
"""p4gauntlet/gauntlet""",4.0
"""sonata-queries/sonata-queries""",4.0
"""vxxx03/IFIPNetworking20""",4.0
"""yotamhc/p4tutorials""",4.0
"""zhangmenghao/p4research""",4.0
"""DINGDAMU/Network-wide-heavy-hitter-detection""",3.0
"""HyperVDP/Hyper4""",3.0
"""MehmedGIT/P4_COPY_TO_CPU""",3.0
"""Safaamahrach/DDoS_Flooding_Attack_Mitigation_in_Software_Defined_Networks""",3.0
"""chenxiang2019/vt""",3.0
"""clickp4/clickp4""",3.0
"""cslev/p4_double_precision""",3.0
"""eniac/Speedlight""",3.0
"""fernandabonetti/INT""",3.0
"""hiwang123/HappyFlowFriends""",3.0
"""hypertester/hypertester""",3.0
"""keemeew/Approximated-Fair-Queuing""",3.0
"""leandrocalmeida/InbandNetworkTelemetry-P4""",3.0
"""mkwjoh004uct/A-Time-Sensitive-network-Switch-Implementation-using-P4""",3.0
"""multip4/MultiSwitch""",3.0
"""netcope/netcope-p4""",3.0
"""nsg-ethz/ditto""",3.0
"""open-nfpsw/M-Sketch""",3.0
"""p4-programs/MatReduce-examples""",3.0
"""p4lang/hackathons""",3.0
"""p4lang/pna""",3.0
"""tatry/INT-BMv2""",3.0
"""zhangmenghao/NetGuard""",3.0
"""Bash009/P4""",2.0
"""COMSYS/pie-for-tofino""",2.0
"""IETF-Hackathon/p4-ipv6-switch-ml""",2.0
"""Lambda-NIC/lambda_nic""",2.0
"""MountainShan/P4-14-OpenFlow-Example""",2.0
"""NIKSS-vSwitch/nikss-demo""",2.0
"""P4NUTA/2022-2023-network-programming-k34202-efimov_p_l""",2.0
"""acnbell/pi2forp4""",2.0
"""alefais/rtt-18-sdn""",2.0
"""andxeg/p4-program""",2.0
"""anshuman23/p4_r2r""",2.0
"""bidyut1990/cs740project""",2.0
"""conweave-project/conweave-p4""",2.0
"""cslev/p4debug""",2.0
"""daehyeok-kim/redplane-public""",2.0
"""diogocampos/p4-data-flow""",2.0
"""ecwolf/p4_robot""",2.0
"""harshgondaliya/PSasCP""",2.0
"""irtf-coinrg/rg-materials""",2.0
"""kframework/p4-semantics""",2.0
"""mandaryoshi/p4-int""",2.0
"""multip4/P4-SFC""",2.0
"""mzj14/CacheP4-Test""",2.0
"""netx-repo/QPipe""",2.0
"""open-nfpsw/p4wire""",2.0
"""purdue-cs536/spring-2021/public""",2.0
"""sammyjmoseley/P4-StreamProcessing""",2.0
"""seclabBupt/P4lab""",2.0
"""sshen3/P4_ml_project""",2.0
"""thuliangjz/p4_tutorial""",2.0
"""yyasuda/P4Runtime-firstbite""",2.0
"""824728350/tutorials""",1.0
"""Andrea-Serafini/netprog-p4""",1.0
"""BlakeLawson/decoy_switch""",1.0
"""CyprienGueyraud/Towards-In-Network-Semantic-Analysis-A-Case-Study-involving-Spam-Classification""",1.0
"""DINGDAMU/P4Entropy""",1.0
"""DuoxingLI/rdma-mirror""",1.0
"""EJLin190/P4_Program""",1.0
"""Elmo-MCast/p4-programs""",1.0
"""EricDracula/p4-projects""",1.0
"""FredShi97/p4""",1.0
"""Froot-NetSys/Jaqen""",1.0
"""GEANT-DataPlaneProgramming/ddos-detection""",1.0
"""Geetork/2022_2023-network_programming-k34202-li-g""",1.0
"""GlaiChen/p4lang_memcached_load_balancer""",1.0
"""Grace-TL/p4-guide""",1.0
"""Harvard-CS145/cs145-23-project7""",1.0
"""JJK96/P4-filtering""",1.0
"""JeckyOH/Packet_score""",1.0
"""JonghwanHyun/p4-applications""",1.0
